t_sim;S_sim;I_sim;R_sim;R0_sim
185;0.902078341270712;0.00119077968287062;0.0967312390102052;1
186;0.90186035707411;0.00116715442733397;0.0969729699711261;1.00093840230991
187;0.901657517805582;0.00114500332050048;0.0971977774783445;1.00695380173243
188;0.901454678537055;0.00112285221366699;0.0974225849855631;1.01296920115496
189;0.901251839268527;0.00110070110683349;0.0976473924927815;1.01898460057748
190;0.901049;0.00107855;0.0978722;1.025
191;0.900846209876543;0.00106696506172839;0.0980864962962963;1.05
192;0.900648205201361;0.00105556192472292;0.0982958634917151;1.05
193;0.9004520019752;0.00104422427521124;0.0985033911993855;1.05
194;0.90025579874904;0.00103288662569955;0.0987109189070559;1.05
195;0.900059595522879;0.00102154897618786;0.0989184466147262;1.05
196;0.8998648719923;0.00101026655245428;0.0991244584215592;1.05093840230991
197;0.899678153994225;0.000999282914340712;0.0993222688161694;1.05695380173244
198;0.89949143599615;0.000988299276227141;0.0995200792107796;1.06296920115496
199;0.899304717998075;0.000977315638113571;0.0997178896053898;1.06898460057748
200;0.899118;0.000966332;0.0999157;1.075
201;0.898926802469136;0.000964190592592593;0.100108601234568;1.1
202;0.898737052672007;0.000961972865576649;0.100300667398222;1.1
203;0.89854765291342;0.000959727062877208;0.100492481290464;1.1
204;0.898358253154834;0.000957481260177768;0.100684295182706;1.1
205;0.898168853396247;0.000955235457478328;0.100876109074948;1.1
206;0.897979796920115;0.000952966590952839;0.101067578440808;1.10187680461983
207;0.897792597690087;0.000950572943214629;0.101257183830606;1.11390760346487
208;0.897605398460058;0.00094817929547642;0.101446789220404;1.12593840230991
209;0.897418199230029;0.00094578564773821;0.101636394610202;1.13796920115496
210;0.897231;0.000943392;0.101826;1.15
211;0.897025345679012;0.000957965938271605;0.102016197530864;1.2
212;0.896813382859651;0.000972920911884122;0.102212983978931;1.2
213;0.896599183364424;0.000988016928563591;0.102412259738835;1.2
214;0.896384983869198;0.00100311294524306;0.102611535498738;1.2
215;0.896170784373971;0.00101820896192253;0.102810811258641;1.2
216;0.895954340712223;0.00103342663137632;0.103012181905679;1.20093840230991
217;0.895725755534167;0.00104930247353224;0.103224886429259;1.20695380173244
218;0.895497170356112;0.00106517831568816;0.103437590952839;1.21296920115496
219;0.895268585178056;0.00108105415784408;0.10365029547642;1.21898460057748
220;0.89504;0.00109693;0.103863;1.225
